【现货出】告白气球家原创在逃甜心Lolita裙三丽鸥粉白 L 码 全新带吊牌。 小物都在的。 裙子有点重包邮 爽快来送小礼物 下单不退换 想好再拍。  ,148   ,link: ,https://www.goofish.com/item?id=907055831666&categoryId=201509401
【现货】小缎带·常规版op LilithEye原创 Loli ta大裙摆连衣裙 常规版常规版！！粉+红，短款，都是xl码，习惯性摘吊牌仅试穿，已过水，单件标价出，两件310包手续费，包邮非偏远，拍付后给实图视频和交易记录，确认无误后发货，二手物品售出不退不换。  ,167   ,link: ,https://www.goofish.com/item?id=909786356987&categoryId=126860305
实拍韩菇凉的恋与心悸160没有内搭单裙子jsk邮费平摊 感兴趣的话点“我想要”和我私聊吧～  ,160   ,link: ,https://www.goofish.com/item?id=909379157568&categoryId=126860305
AD鹿隐洋装Lolita虞美人之夏 黑色OP，尺码M。套头就走，这条超级超级显瘦！（三只小蝴蝶结可拆卸，洗之后会皱不好看干脆丢了，介意慎拍  ,141   ,link: ,https://www.goofish.com/item?id=909917264490&categoryId=201509401
出告白气球家爱丽丝的梦蓝色长款xxl 全新吊牌未拆 单op无围裙，没有围裙！！ 买大了出掉，仅试穿 拍下不退不换  ,220   ,link: ,https://www.goofish.com/item?id=908868698011&categoryId=126860305
【出】安娜贝尔.李jsk 清水社原创设计洛丽塔复古doll感 jsk l码 内搭，jsk，发带 裙摆纱上有两处破洞，棉布的有点皱巴巴 内搭领子有点染色 不包邮，不包sxf，不换 大瑕！！！  ,140   ,link: ,https://www.goofish.com/item?id=908922317870&categoryId=126860305
【尾款】告白气球家lolita三丽鸥星星软糖洛丽塔裙原创正品 S码 库洛米背带 单裙子全新未穿，因尺码不合适出手。感兴趣的小伙伴可以直接拍下哦～  ,140   ,link: ,https://www.goofish.com/item?id=909634408306&categoryId=126860305
喵君工作室原创设计云间药铺中华风lolita连衣裙罩裙套装汉 洋折衷 大全套 罩衫加裙子 从一任那边买来嘟，一共穿过两次（包括1任） 交易愉快，诚心购买送发饰，完美主义勿扰，不讲价，不包邮 衣服很漂亮很漂亮！手机拍出来有点暗  ,210   ,link: ,https://www.goofish.com/item?id=907186456132&categoryId=126860305
【包邮出】ag家少女派对黑色op xs码 Alice girl原创新 Lolita少女派对蝴蝶结拖尾 闪光三层吊带连衣裙 穿一洗一 后面一直挂在衣柜里 没有明显瑕疵 发出前可以指哪拍哪 但是不接受到手刀ysg 提前感谢宝宝收物  ,150   ,link: ,https://www.goofish.com/item?id=908782020082&categoryId=126860305
【FlowerFairyDaily 黑鸢尾 lolita背带 sk半裙】经典设计，黑白配色，尽显可爱与时尚。M码，适合多种场合穿着。全新商品，短款，没穿过一次 注意：不支持七天无理由退换  ,160   ,link: ,https://www.goofish.com/item?id=908358385061&categoryId=126860305
#Lolita #lolita裙 nololita细雪 品牌：nololita 状态：穿一，缺胸口蝴蝶结 型色尺码：白色，jsk，均码 【包邮非偏远，均已洗净，二手物品默认有瑕，拍下不退不换，只出不换】  ,140   ,link: ,https://www.goofish.com/item?id=907958753044&categoryId=126860305
【梦见小星球】珍珠与百合洛丽塔lolita现货 穿一洗一，未穿出门，状态良好可私细节，绝不藏瑕碎碎念致歉：事多别拍别找，算是大刀出裙子不是我做的，我不能确定裙子做工OP本体➕小物（发圈蝴蝶结）二手商品不退不换，无售后拒ysg，dsd，wcn爽快事少姐妹收货后➖20[呲牙][呲牙]  ,160   ,link: ,https://www.goofish.com/item?id=902227949883&categoryId=126860305
出洛丽猫雾隐山茶lolita大全套，穿一洗一，东西都在，最后 一张是我自己的上身图，送裙撑和外面的开衫，可一起搭配很适合。（是江西发货，当时在珠海发布的，不知道为什么没变过来，拍下不退不换，超重需补邮）  ,186   ,link: ,https://www.goofish.com/item?id=907284928326&categoryId=126860305
未知星辰原创正品教堂钟声长袖Lolita有飞机盒裙子有点瑕疵 偏远地区不包邮 送一个小帽子  ,194   ,link: ,https://www.goofish.com/item?id=907505518329&categoryId=201509401
正版带拖尾发出前会现拍裙子状态 不接受退货 大刀 没有盒子了 太长了不适合我  ,150   ,link: ,https://www.goofish.com/item?id=907849851562&categoryId=126860305
猫芮可春日花信lolitaM码 裙子+发带+接袖 有原盒子 无吊牌 穿一洗一江浙沪包邮 非偏远半包 邮费转账可直拍  ,229   ,link: ,https://www.goofish.com/item?id=908624831587&categoryId=126860305
出告白气球家爱丽丝美乐蒂lolita大全套 加小码（xs）正的图为实拍 图上什么样子收到就是什么样子二手默认微瑕 细节控放大镜勿拍裙子在家 周末放假发货 有的时候可能要等两周才会回去拍前可问发货时间可定金预订只出不换 不单出可直拍 请及时确认收货～  ,245   ,link: ,https://www.goofish.com/item?id=907484696538&categoryId=126860305
FlowerFairyDaily 黑鸢尾 lolita背带 sk半裙 l码 长款 短穿一已洗 裙子很重 裙摆很大默认微瑕 ⭐️包邮 ⭐️当天确认收货并好评的妹子返还邮费  ,155   ,link: ,https://www.goofish.com/item?id=908503866746&categoryId=126860305
出很叮话原创设计小熊糖果屋lolita L码 生成色 图1为本人 穿一洗一 op+kc 可直拍 状态好 拍下指哪拍哪  ,247   ,link: ,https://www.goofish.com/item?id=908871464674&categoryId=201509401
塔莉黑短jsk s码 9成新 但是配件不齐，后面的蝴蝶结和 胸前的蝴蝶结不在了 纯棉的很舒适，裙摆很大doll感十足 是正的不是山！这个价格没什么好挑的 所见即所得，接受再拍  ,140   ,link: ,https://www.goofish.com/item?id=907751643150&categoryId=126860305
原创正版lolita裙洛丽塔加冕公主连衣裙洋装日常女中长款春 秋萝莉，只穿过几个小时，基本属于全新  ,168   ,link: ,https://www.goofish.com/item?id=909111548709&categoryId=126860305
包邮出，没有穿过有接袖外搭KC，默认微瑕小物都在裙上，很do ll感的裙子图片实拍，需要直拍  ,158   ,link: ,https://www.goofish.com/item?id=908832676264&categoryId=126860305
出线球猫原创lolita企鹅雪宝jsk连衣裙，超可爱洛丽塔洋 装！l码。试穿过一次，几乎全新。试穿都没有，适合秋冬有兴趣的朋友可以私聊我哦～线球猫原创lolita企鹅雪宝jsk柄图连衣裙洛丽塔可爱洋装lo裙带购物记录  ,230   ,link: ,https://www.goofish.com/item?id=909540116971&categoryId=126860305
时之神殿全套洛丽塔M码 几乎全新 仅试穿过 【款式】衬衫+黑色半裙+裙衬+披肩+蝴蝶结 【尺码】M码 【成色】几乎全新 【出售状态】现货 急出，介意勿扰 感兴趣的话点"我想要"和我私聊吧～  ,180   ,link: ,https://www.goofish.com/item?id=907554341884&categoryId=126860305
花鸟系列-蓝鸟JSK轻lo平价日常cla系梦鲸原创lolit a，长款m码，几乎全新试穿过  ,180   ,link: ,https://www.goofish.com/item?id=909411288797&categoryId=201509401
出太炎兽Lolita，穿过一次，有金锁，有披帛，裙子有一个吊 穗掉了一个，在衣柜闲置了，所以便宜出掉 可发细节图，喜欢来咨询 二手物品售出不退不换（不刀）  ,185   ,link: ,https://www.goofish.com/item?id=909791844170&categoryId=126860305
【包邮出】未知星辰原创巧克力工坊op lolita日常短袖连 衣裙春夏s码短款，穿二洗一，九成新，配件齐全，很萌的小裙子借tag致歉:榛果可可你别睡别睡在望Alicegirl仲夏物语占星猫天使街道猪猪柄告白气球渔老板家婴梵塔摇滚猫小奶糕小奶牛摇篮曲古董人偶熊之To Alice 安妮的早餐 梵高的来信 樱花草莓 腐烂草莓 蜜桃草莓 小红帽 with噗叽 魔法裙子猫 套娃 太炎兽 芙拉小姐 斑点狗 虎斑猫 瑞本兔 新年兔 摇滚猫 爱丽丝姐姐 爱丽丝妹妹 有点圆 绵羊泡芙  ,198   ,link: ,https://www.goofish.com/item?id=909271632612&categoryId=201509401
卡米丽娅蓝色M码全新洛丽塔裙，如图带模特图bant+边夹 仅穿一  ,252   ,link: ,https://www.goofish.com/item?id=909302888138&categoryId=126860305
月神物语lolita 艾丽莎的天鹅堡jsk 雾霾色m码 状态好蕾丝没有泛黄 只穿过一次一直挂衣柜 可直拍 二手物品不退不换 xd 退坑出 过气萌款 江浙沪包邮 其他邮费对半  ,135   ,link: ,https://www.goofish.com/item?id=909467808234&categoryId=201509401
清衣柜大刀出 希尔芙密语生成色长款m码，最早那团的，放久了有轻微发黄，应该能洗掉裙子＋双色腰带＋绿色珍珠腰带＋两个胸针（还是边夹）＋珍珠项链周末发货  ,150   ,link: ,https://www.goofish.com/item?id=909512981490&categoryId=126860305
NyaNya夏日林檎SK lolita原创图片色M码SK 微起球肉眼不太明显，送一件衬衣 收来的码数对我有点大，手缝了下可以拆掉哈  ,168   ,link: ,https://www.goofish.com/item?id=909918720902&categoryId=201509401
【出】时光之歌第一章 兔兔与咩咩日常优雅学院秋冬OP洋装lo lita洛丽塔现货 黑色S码4点，op+假领+贝雷帽+边夹 8-9新 有一定穿着感 料子很厚实，自己配个方形修女领也很不错 占空间了随意出出 包邮包手续费  ,135   ,link: ,https://www.goofish.com/item?id=857825236492&categoryId=201509401
出立刻和我恋爱家的花苞裙仅试穿吊牌防盗扣还在不包邮不包sxf 粉色款 感兴趣的话点“我想要”和我私聊吧～  ,138   ,link: ,https://www.goofish.com/item?id=907783983596&categoryId=126860305
原创玩具周年lolita裙JSK背带核桃博物馆 全新玩具周年lolita背带裙JSK，全新背带裙背带➕腰带 送蝴蝶结 内搭+40现货直发，诚心要的联系  ,150   ,link: ,https://www.goofish.com/item?id=908560567906&categoryId=126860305
原创设计渔老板家加冕大年初一晚八点再贩金色黑色，想好再拍。金 色，S(感觉比正常码小点 因为很厚实) 大全套 头纱➕裙子➕内搭 不包邮和sxf 急出 有点瑕疵 可以私信 拍前指哪儿拍哪儿 拍后不退不换  ,135   ,link: ,https://www.goofish.com/item?id=908776788068&categoryId=126860305
清衣柜，标价不议价，包邮包手续费 古早裙子默认五新，不退不换 虎斑猫切替 只有裙子加手袋  ,130   ,link: ,https://www.goofish.com/item?id=908831446137&categoryId=126860305
【恶之花】WP原创设计哥特玫瑰刺绣镂空上衣不规则下裙套装lo lita 就是运动会穿了一次哦 可以送裙撑和小配饰 可租❗️❗️❗️❗️❗️❗️  ,149   ,link: ,https://www.goofish.com/item?id=908918514309&categoryId=126860305
柴呼呼原创设计 原创款【小萌熊】柴呼呼连衣裙轻松熊背带裙生日礼物少萝萌妹甜大全套，穿一背带裤➕熊耳帽子➕衬衫衬衫均码，背带裤大码对于我来说有点短了，适合小个子妹妹  ,135   ,link: ,https://www.goofish.com/item?id=904852604093&categoryId=126860305
线球猫Lolita 小森林 jsk托胸 长款 s码 仅裙子！！没有内搭！穿一洗一 拆下的吊牌还在不议价 爽快非偏远包邮  ,208   ,link: ,https://www.goofish.com/item?id=908303069561&categoryId=126860305
塔莉亚lolita小黄油 单裙子 前娘穿一洗一我穿一洗一 有瑕疵是裙子下面丝带挂到了 已经修复好 丝带质量问题打几次就会皱 有四个小蝴蝶结 不包邮邮费多退少补  ,228   ,link: ,https://www.goofish.com/item?id=908718370284&categoryId=126860305
Nyanya菠萝派对 菠萝格 L码穿洗过 无瑕疵无污渍 一直放袋子里面很久了皱了 可以私我看图 需要自己打理 介意勿拍  ,250   ,link: ,https://www.goofish.com/item?id=909039662448&categoryId=201509401
出韩菇凉恋与心悸M码➕内搭 裙子与内搭只试穿拍照 没有穿出去 过 几乎全新 有吊牌无飞机盒 有意的宝宝私我 可以给宝宝拍细节图 已经最低价了哦不可刀哦 脾气好随便问 邮费需宝宝自理 爽快的宝宝半包  ,188   ,link: ,https://www.goofish.com/item?id=908241138141&categoryId=126860305
小欣原创设计，羽翼降临S码，蓝白色洛丽塔连衣裙。只穿过一次拍 照，无瑕疵，有背后蝴蝶结。全新状态，包邮 有一双自搭的lo鞋 可+60打包带走 鞋子很新短穿半小时拍照 优先考虑打包  ,210   ,link: ,https://www.goofish.com/item?id=908513783402&categoryId=126860305
渔老板家的祈愿，穿一洗一，裙子➕手袖➕后背蝴蝶结，另送发带 感兴趣的话点“我想要”和我私聊吧～  ,140   ,link: ,https://www.goofish.com/item?id=907865430667&categoryId=126860305
【包邮】Little Plum梅子洋装勿忘我Lolita蓝色 S码背心裙，有领结+腰带无胸针，腰带一小处颜色较浅穿二洗三。送一个全新30cm日常蓬度裙撑，偏远补邮，不议价谢谢。★标价200，需带走主页缎面蓝裙91.99，可送一双35码lo鞋，下雨爬山已清理，穿着痕迹明显，袋装发★出价220，需带走空栗鼠丸jk长袖衬衫31.99r 第二颗扣眼轻微脱线★单出230，以上优惠价都是和列表一起购买，比较想和列表清出，单买联系我改价  ,200   ,link: ,https://www.goofish.com/item?id=909418345937&categoryId=201509401
少女的永无岛原创 艾丽娅 Lolita复古欧式优雅cla系长 袖op连衣裙 包邮非偏 L码 仅穿过一次，穿完已经洗了 东西在家里周末发 本人深陷172/56  ,130   ,link: ,https://www.goofish.com/item?id=908736714126&categoryId=126860305
AH天使之心胡桃夹子jsk s码 前娘告知瑕疵是拉链处的风纪 扣不见了 可实拍 买来穿了一次  ,161   ,link: ,https://www.goofish.com/item?id=909082522460&categoryId=201509401
出独角兽之翼家的太炎兽烟灰紫jsk单裙子2码，小物只有裙子自 带的金锁和店家赠送的替换扣子和配件，赠送喵君家的一件同色内搭开衫，买来穿二洗二。  ,193   ,link: ,https://www.goofish.com/item?id=909495880718&categoryId=201509401
